comm_code,slope_im,slope_ex,score,score_nor,positive_trade,trend_score,price_score
490510,-8.638709348744378e-06,-3.7764849611997305e-07,26.39405204460967,0.3696792869569045,True,18.215613382899633,100
490591,1.3028873116139062e-05,1.3425404037065033e-05,27.397769516728623,0.36965461104888814,True,19.330855018587357,100
490599,1.5568559252545868e-05,-2.0789549711404496e-05,96.31970260223049,0.36953928894815846,True,95.91078066914498,100
490600,-1.1527720344062177e-05,-9.219343911528831e-05,97.32342007434946,0.3694002684963926,True,97.02602230483272,100
490700,-8.260116731384102e-05,-0.00016050061085098844,96.98884758364312,0.36940894801745966,True,96.6542750929368,100
490810,6.231200185979557e-07,2.07045787997775e-05,24.721189591078065,0.3697163748762761,True,16.356877323420072,100
490890,-9.545065739432308e-06,0.00031855594768960007,15.018587360594791,0.37068282325446905,True,5.576208178438657,100
490900,7.536919861314355e-05,2.9484906334566836e-05,86.6542750929368,0.36950939940291416,False,96.28252788104089,0
491000,5.2389287624243205e-05,4.051224242127005e-05,94.64684014869889,0.3696161012284544,True,94.05204460966543,100
491110,0.0012676338245011065,0.0026284618566322195,0.6691449814126416,0.3739231284145806,False,0.743494423791824,0
491191,0.0001073465850221023,0.0006984514523614865,3.011152416356877,0.3715080294604866,False,3.3457249070631967,0
491199,0.0009297989210845819,-0.0002598882538173621,89.66542750929368,0.36592058036787717,False,99.62825278810409,0
570110,-0.0028117063481620332,-0.00017986453748954008,10.0,0.3779110869269439,True,0.0,100
570231,-2.2979910988900335e-05,1.8948513292819634e-05,12.71375464684015,0.36978492235664817,False,14.12639405204461,0
570241,3.758546657634028e-05,2.4122297689663258e-05,94.9814126394052,0.3696111245747368,True,94.42379182156134,100
570249,6.4766717084575295e-06,9.02579905726735e-06,17.063197026022312,0.36966136507893343,False,18.959107806691456,0
570310,-0.00015013415963249517,7.071468089846493e-06,18.69888475836431,0.3701466184393374,True,9.665427509293679,100
570320,-0.0006185882366445154,0.0004067085478964049,11.003717472118963,0.3728703587927385,True,1.115241635687736,100
570330,-3.965309209259674e-05,0.00037462730815101294,14.01486988847584,0.37095322143979154,True,4.460966542750933,100
570390,-1.4728291348678891e-06,2.3612472219901295e-05,14.052044609665423,0.36973207503383754,False,15.613382899628247,0
570500,0.0001399470914496589,-3.238335854228785e-06,97.65799256505576,0.36920410539569093,True,97.39776951672863,100
590190,5.132243062270429e-05,2.4245033450902248e-05,85.65055762081784,0.36956840829699417,False,95.16728624535315,0
590210,0.0008400507559816703,-4.1513010935988e-05,88.99628252788104,0.36688735459839694,False,98.88475836431226,0
590310,9.446877130441119e-05,0.0002489647710670921,19.03345724907063,0.3701381166559032,True,10.03717472118959,100
590320,-3.673575746007034e-05,0.0007484237896105621,1.672862453531594,0.3721168993444829,False,1.8587360594795488,0
590390,8.006148117743403e-06,0.0006104404703407267,12.342007434944236,0.3715435769870408,True,2.6022304832713727,100
590410,4.293863400884091e-05,,,,True,,100
590500,-4.059721333289708e-06,0.00011067933300036101,20.371747211895915,0.37001337446063665,True,11.524163568773238,100
590610,5.0038425735896404e-05,9.824525626561095e-05,12.37918215613383,0.36980462161094696,False,13.754646840148698,0
590691,-2.0695137587374505e-05,1.9817104833895573e-05,23.048327137546472,0.3697804789158289,True,14.498141263940523,100
590699,0.0003501934504520507,0.0001672699601439388,87.99256505576209,0.369079422446302,False,97.76951672862454,0
590700,-7.890965326426825e-05,0.00042631794605743417,13.345724907063198,0.37123857920920555,True,3.7174721189591087,100
590800,3.68207283716974e-07,5.81767508272818e-05,12.044609665427508,0.3698347481397017,False,13.382899628252787,0
590900,9.979361509970282e-06,8.627379893860778e-05,11.375464684014867,0.36989274985386267,False,12.639405204460964,0
591000,3.4026129500409544e-05,7.015764936668792e-05,13.382899628252792,0.3697667338722279,False,14.869888475836435,0
591110,-6.844878992174515e-06,7.231024579457173e-05,11.040892193308546,0.3699017256043176,False,12.26765799256505,0
591120,6.705149048610116e-05,0.00018715315346465547,20.037174721189594,0.3700302002898723,True,11.152416356877326,100
591131,4.8339007503356496e-05,6.753299231865409e-05,15.055762081784385,0.3697135903200294,False,16.728624535315983,0
591132,0.00011712768107160956,0.00029871051921849545,8.36431226765799,0.3702231048673066,False,9.293680297397767,0
591140,-1.177319186654015e-05,0.0003546119378566544,14.349442379182161,0.3708029442712836,True,4.832713754646845,100
591190,0.0001871625946770585,0.0004706538795019191,15.353159851301113,0.3705428548686618,True,5.947955390334569,100
690100,1.9740942573440574e-05,1.122138132522205e-05,83.97769516728624,0.36962663573794874,False,93.3085501858736,0
690220,8.963449290557942e-05,0.0003535044836417826,16.356877323420075,0.37048129069988134,True,7.063197026022305,100
690290,0.0002496747502397976,3.739768086164462e-05,98.3271375464684,0.36898732206352325,True,98.14126394052045,100
690310,4.967182345828793e-06,3.830202627409073e-05,23.717472118959112,0.369757958965298,True,15.241635687732346,100
690320,0.00015351562426675343,0.0003599377257731864,17.695167286245358,0.37030104104190037,True,8.550185873605953,100
690390,0.00021366086788006058,0.0008070527745119474,2.6765799256505565,0.3715152053211804,False,2.9739776951672847,0
690490,4.1187289108084515e-06,0.0002695609647484831,6.022304832713754,0.3704862238078789,False,6.691449814126393,0
690510,-8.87303079937442e-05,0.0008146718329211679,11.338289962825282,0.3724878996960183,True,1.486988847583648,100
690590,-1.4334375643588597e-05,0.00019382148178489393,7.360594795539037,0.3703064809095119,False,8.178438661710041,0
690600,-0.00011556308335218451,0.00013921218747620946,6.691449814126396,0.37045275492293994,False,7.434944237918217,0
690911,7.746590306360166e-05,6.718734953258031e-05,94.31226765799258,0.36962111668822184,True,93.68029739776952,100
690919,0.003805040852233839,0.0028432645447402983,89.33085501858736,0.366635678110393,False,99.25650557620817,0
690990,3.884973932922593e-06,1.2380224059203394e-05,16.059479553903348,0.3696800217539013,False,17.843866171003718,0
691010,0.0010621373394586638,0.0012566942916897514,18.02973977695167,0.3702638127097989,True,8.921933085501854,100
691090,-8.836748220109687e-05,0.00018215856327922082,15.687732342007433,0.3705021748717319,True,6.319702602230482,100
691110,0.000754068690506315,0.0004380835849540519,88.66171003717471,0.36866192563380423,False,98.51301115241635,0
691190,-8.01241708277901e-06,9.748995927337099e-06,25.39033457249071,0.36970909545378833,True,17.100371747211895,100
691200,0.00040336352634202195,0.0004827575138025641,20.706319702602237,0.3699024750646691,True,11.89591078066915,100
