comm_code,slope_im,slope_ex,score,score_nor,positive_trade,trend_score,price_score
570110,-5.518798095581432e-06,-6.459878811140434e-05,96.17021276595746,0.7888010842470141,True,95.74468085106383,100
570210,-1.4428200861221707e-07,-1.7218934866843247e-05,89.46808510638297,0.7889033700314522,True,88.29787234042553,100
570220,-1.1965667741822497e-07,-7.738227421812793e-07,82.2872340425532,0.7889433550068428,True,80.31914893617021,100
570231,3.7000311196581794e-06,-1.1116274074255829e-06,85.15957446808511,0.7889332312367083,True,83.51063829787235,100
570239,-6.130295441399874e-08,6.456413339054349e-07,32.97872340425532,0.7889466694009077,True,25.531914893617024,100
570241,-4.791734941719613e-06,1.2529091113506427e-05,24.840425531914896,0.788987125305897,True,16.48936170212766,100
570242,3.2537458118116305e-06,4.335221959717542e-05,22.4468085106383,0.7890425903901788,True,13.829787234042556,100
570249,-1.8825760259579495e-06,4.7398004286768896e-07,22.021276595744677,0.7889506863151002,False,24.468085106382976,0
570292,4.2470935174348325e-08,1.2647110441737901e-05,16.27659574468085,0.7889756410785743,False,18.085106382978722,0
570299,8.789410606890209e-07,8.48055247268138e-06,18.67021276595745,0.7889634583730457,False,20.744680851063833,0
570310,-6.999056896900323e-06,1.881048584461258e-05,23.404255319148938,0.7890077958945384,True,14.893617021276595,100
570320,-2.020899485541934e-05,-9.773179569411643e-06,26.755319148936174,0.7889703598476231,True,18.617021276595747,100
570330,1.340663516984348e-06,8.660739496013558e-05,19.095744680851062,0.7891525780960004,True,10.106382978723405,100
570390,1.6719488285859932e-07,-1.4877871025491014e-06,83.72340425531915,0.7889409179536384,True,81.91489361702128,100
570490,7.934559108701045e-07,-3.762548316206084e-07,83.24468085106383,0.7889420996213289,True,81.38297872340425,100
570500,-8.657013149638085e-06,0.00019121441738582235,6.22340425531915,0.7894316481461455,False,6.914893617021278,0
590110,-5.074655862511425e-06,1.4750413155311459e-06,30.585106382978722,0.7889608968920564,True,22.872340425531913,100
590190,3.824444621930876e-06,5.8862941104897415e-05,11.489361702127656,0.7890789703372177,False,12.765957446808507,0
590210,1.1967690644181658e-05,7.480073535523794e-05,20.53191489361702,0.7890979505795821,True,11.702127659574469,100
590220,2.252196088343381e-05,-1.993612836021465e-06,91.86170212765958,0.788885250895201,True,90.95744680851064,100
590290,-1.43582254640204e-06,8.99547625958593e-06,17.234042553191493,0.7889703488496945,False,19.14893617021277,0
590310,-0.0003525399166462897,2.7058294387940834e-05,3.3510638297872366,0.7898692947875441,False,3.7234042553191515,0
590320,-7.479712517553263e-05,0.00035845253727875696,2.872340425531914,0.7899999396333205,False,3.1914893617021267,0
590390,-0.0002077748099090363,3.09194642013402e-05,15.744680851063828,0.7895261843474449,True,6.382978723404253,100
590410,6.432904609905144e-07,-3.09519082504397e-08,82.76595744680851,0.7889433061197088,True,80.85106382978724,100
590500,1.8978980091734062e-07,2.4774527753756638e-05,14.361702127659571,0.7890048134135712,False,15.957446808510634,0
590610,1.1297416468306148e-05,4.508220669617004e-06,77.07446808510639,0.7889284158021763,False,85.63829787234043,0
590691,1.9349769581956088e-05,1.9751363268498857e-05,33.45744680851064,0.7889459258519221,True,26.063829787234038,100
590699,7.685584392225961e-06,4.283863272841419e-05,12.925531914893613,0.7890305479509155,False,14.36170212765957,0
590700,1.4307868213955737e-05,2.8626374190441307e-05,25.797872340425528,0.7889798144572009,True,17.553191489361698,100
590800,2.338154667414919e-06,-3.05022130502501e-06,75.63829787234043,0.7889318268914445,False,84.04255319148936,0
590900,6.397253459416892e-07,2.6158984102506468e-05,13.882978723404259,0.7890070890337649,False,15.42553191489362,0
591000,1.2342801334245167e-05,3.6353207764931618e-06,77.55319148936171,0.7889237446514455,False,86.17021276595744,0
591110,7.108233538086541e-06,4.429675476901558e-06,84.20212765957447,0.7889384254779453,True,82.4468085106383,100
591120,3.900024059529159e-05,1.6652036509423525e-05,90.42553191489361,0.7888905285841362,True,89.36170212765957,100
591131,1.0917836866471467e-05,1.8381522890012397e-06,78.03191489361703,0.7889228383099494,False,86.70212765957447,0
591132,5.265634869642384e-05,5.183006318328179e-06,85.69148936170212,0.7888293472045013,False,95.2127659574468,0
591140,6.610587039771839e-06,3.856683376484053e-06,74.68085106382979,0.7889382420064026,False,82.97872340425532,0
591190,0.00012458720649482992,4.233477732186839e-05,97.60638297872342,0.7887446578194,True,97.3404255319149,100
690100,-9.539306520053495e-06,-1.569995551120896e-05,76.11702127659574,0.7889299463553776,False,84.57446808510637,0
690210,-2.0692768950303182e-05,0.0004830024878206081,11.436170212765957,0.7901714793319032,True,1.5957446808510634,100
690220,6.02049540579851e-06,0.0002732255128051803,15.265957446808507,0.7895956098999952,True,5.851063829787229,100
690290,-4.9732000487824236e-05,3.7835166505237935e-05,8.617021276595743,0.7891581798092752,False,9.57446808510638,0
690310,2.7620611171948008e-05,-8.289723681072143e-06,93.77659574468085,0.7888575038954172,True,93.08510638297872,100
690320,8.938174045233746e-06,-2.37383360777469e-05,92.34042553191489,0.7888653784733074,True,91.48936170212765,100
690390,1.0078016934822435e-05,0.00012225101213997344,8.13829787234043,0.7892180966343915,False,9.042553191489366,0
690410,2.1049225376161062e-06,-9.439881369818948e-06,88.98936170212765,0.7889168355807378,True,87.7659574468085,100
690490,1.4686246091616662e-05,0.00033465911216201113,4.3085106382978715,0.789724103114421,False,4.78723404255319,0
690510,1.2241112936816697e-06,1.0555211589854934e-05,27.712765957446805,0.788967669793288,True,19.680851063829785,100
